Level,X,Y,height
0,172,112,0
0,172,112,1
0,172,112,2
0,172,112,3
0,172,112,4
0,172,112,5
0,172,112,6
0,172,112,7
0,172,112,8
0,172,112,9
0,172,112,10
0,172,112,11
0,172,113,0
0,172,113,1
0,172,113,2
0,172,113,3
0,172,113,4
0,172,113,5
0,172,113,6
0,172,113,7
0,172,113,8
0,172,113,9
0,172,113,10
0,172,113,11
0,172,114,0
0,172,114,1
0,172,114,2
0,172,114,3
0,172,114,4
0,172,114,5
0,172,114,6
0,172,114,7
0,172,114,8
0,172,114,9
0,172,114,10
0,172,114,11
0,172,115,0
0,172,115,1
0,172,115,2
0,172,115,3
0,172,115,4
0,172,115,5
0,172,115,6
0,172,115,7
0,172,115,8
0,172,115,9
0,172,115,10
0,172,115,11
0,172,116,0
0,172,116,1
0,172,116,2
0,172,116,3
0,172,116,4
0,172,116,5
0,172,116,6
0,172,116,7
0,172,116,8
0,172,116,9
0,172,116,10
0,172,116,11
0,172,117,0
0,172,117,1
0,172,117,2
0,172,117,3
0,172,117,4
0,172,117,5
0,172,117,6
0,172,117,7
0,172,117,8
0,172,117,9
0,172,117,10
0,172,117,11
0,172,118,0
0,172,118,1
0,172,118,2
0,172,118,3
0,172,118,4
0,172,118,5
0,172,118,6
0,172,118,7
0,172,118,8
0,172,118,9
0,172,118,10
0,172,118,11
0,172,119,0
0,172,119,1
0,172,119,2
0,172,119,3
0,172,119,4
0,172,119,5
0,172,119,6
0,172,119,7
0,172,119,8
0,172,119,9
0,172,119,10
0,172,119,11
0,172,120,0
0,172,120,1
0,172,120,2
0,172,120,3
0,172,120,4
0,172,120,5
0,172,120,6
0,172,120,7
0,172,120,8
0,172,120,9
0,172,120,10
0,172,120,11
0,172,121,0
0,172,121,1
0,172,121,2
0,172,121,3
0,172,121,4
0,172,121,5
0,172,121,6
0,172,121,7
0,172,121,8
0,172,121,9
0,172,121,10
0,172,121,11
0,172,122,0
0,172,122,1
0,172,122,2
0,172,122,3
0,172,122,4
0,172,122,5
0,172,122,6
0,172,122,7
0,172,122,8
0,172,122,9
0,172,122,10
0,172,122,11
0,172,123,0
0,172,123,1
0,172,123,2
0,172,123,3
0,172,123,4
0,172,123,5
0,172,123,6
0,172,123,7
0,172,123,8
0,172,123,9
0,172,123,10
0,172,123,11
0,172,124,0
0,172,124,1
0,172,124,2
0,172,124,3
0,172,124,4
0,172,124,5
0,172,124,6
0,172,124,7
0,172,124,8
0,172,124,9
0,172,124,10
0,172,124,11
0,172,125,0
0,172,125,1
0,172,125,2
0,172,125,3
0,172,125,4
0,172,125,5
0,172,125,6
0,172,125,7
0,172,125,8
0,172,125,9
0,172,125,10
0,172,125,11
0,172,126,0
0,172,126,1
0,172,126,2
0,172,126,3
0,172,126,4
0,172,126,5
0,172,126,6
0,172,126,7
0,172,126,8
0,172,126,9
0,172,126,10
0,172,126,11
0,172,127,0
0,172,127,1
0,172,127,2
0,172,127,3
0,172,127,4
0,172,127,5
0,172,127,6
0,172,127,7
0,172,127,8
0,172,127,9
0,172,127,10
0,172,127,11
0,172,128,0
0,172,128,1
0,172,128,2
0,172,128,3
0,172,128,4
0,172,128,5
0,172,128,6
0,172,128,7
0,172,128,8
0,172,128,9
